pair,direction,shape_class,texture_class,content_idx,style_idx,resnet50_head_pred,resnet50_head_conf,resnet50_head_decision,vit_b16_head_pred,vit_b16_head_conf,vit_b16_head_decision,clip_head_pred,clip_head_conf,clip_head_decision,clip_zeroshot_pred,clip_zeroshot_conf,clip_zeroshot_decision,category
deer/truck,A_shape_B_texture,deer,truck,28,158,deer,0.7682741,shape,ship,0.72383726,other,deer,0.14113866,shape,deer,0.99649376,shape,mixed_other
deer/truck,B_shape_A_texture,truck,deer,280,186,horse,0.6079426,other,car,0.42747086,other,horse,0.108472556,other,ship,0.29141766,other,all_other
deer/truck,B_shape_A_texture,truck,deer,296,133,deer,0.7445622,texture,car,0.30716082,other,truck,0.10787802,shape,truck,0.33994532,shape,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,165,423,truck,0.89980125,shape,truck,0.9958378,shape,truck,0.13108887,shape,truck,0.986226,shape,all_shape
deer/truck,B_shape_A_texture,truck,deer,218,390,deer,0.38272735,texture,airplane,0.6515791,other,truck,0.10294661,shape,ship,0.27321145,other,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,361,336,deer,0.54038197,texture,bird,0.29042193,other,truck,0.102838114,shape,monkey,0.28699592,other,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,401,137,deer,0.97392154,texture,deer,0.68474245,texture,truck,0.105320305,shape,ship,0.4206547,other,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,410,316,truck,0.45952946,shape,truck,0.9818205,shape,truck,0.11788034,shape,truck,0.9013116,shape,all_shape
deer/truck,B_shape_A_texture,truck,deer,377,27,truck,0.9127929,shape,truck,0.99836355,shape,truck,0.1286509,shape,truck,0.97989434,shape,all_shape
deer/truck,B_shape_A_texture,truck,deer,231,82,deer,0.92939276,texture,bird,0.34097368,other,truck,0.10779727,shape,car,0.26919332,other,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,160,326,deer,0.6063303,texture,deer,0.39617535,texture,truck,0.112250894,shape,truck,0.61313355,shape,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,491,345,deer,0.8588742,texture,deer,0.42811203,texture,truck,0.10513397,shape,car,0.2904843,other,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,268,81,bird,0.78728676,other,cat,0.23747922,other,bird,0.10741045,other,monkey,0.38814563,other,all_other
deer/truck,B_shape_A_texture,truck,deer,240,344,deer,0.6935969,texture,truck,0.892758,shape,truck,0.10768416,shape,truck,0.23149134,shape,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,17,63,deer,0.70036274,texture,horse,0.45924506,other,truck,0.109171845,shape,car,0.5281094,other,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,46,373,truck,0.38473353,shape,truck,0.9552354,shape,truck,0.12832774,shape,truck,0.9865274,shape,all_shape
deer/truck,B_shape_A_texture,truck,deer,422,32,deer,0.63645256,texture,cat,0.24677306,other,dog,0.10588156,other,horse,0.24817178,other,mixed_other
deer/truck,B_shape_A_texture,truck,deer,127,356,deer,0.5406862,texture,truck,0.9201554,shape,truck,0.11207728,shape,truck,0.40225238,shape,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,79,405,truck,0.69938827,shape,truck,0.92034805,shape,truck,0.123348854,shape,truck,0.92006975,shape,all_shape
deer/truck,B_shape_A_texture,truck,deer,130,176,deer,0.6393805,texture,truck,0.35747603,shape,truck,0.11339019,shape,truck,0.55513996,shape,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,119,169,cat,0.7070634,other,dog,0.43470228,other,bird,0.10490086,other,bird,0.25290522,other,all_other
deer/truck,B_shape_A_texture,truck,deer,360,162,car,0.76987803,other,car,0.9852518,other,car,0.12098451,other,car,0.73462015,other,all_other
deer/truck,B_shape_A_texture,truck,deer,109,496,truck,0.52302825,shape,truck,0.8529109,shape,truck,0.11739605,shape,truck,0.9378604,shape,all_shape
deer/truck,B_shape_A_texture,truck,deer,492,461,bird,0.6813359,other,car,0.22823797,other,truck,0.108015195,shape,car,0.48741147,other,mixed_other
deer/truck,B_shape_A_texture,truck,deer,23,206,deer,0.937338,texture,truck,0.972646,shape,truck,0.115354314,shape,truck,0.8167298,shape,disagree_shape_vs_texture
deer/truck,B_shape_A_texture,truck,deer,466,48,truck,0.7089977,shape,truck,0.7321868,shape,truck,0.13317648,shape,truck,0.99408156,shape,all_shape
dog/monkey,A_shape_B_texture,dog,monkey,458,465,dog,0.83280116,shape,monkey,0.5861074,texture,dog,0.12584125,shape,dog,0.67722905,shape,disagree_shape_vs_texture
dog/monkey,A_shape_B_texture,dog,monkey,369,37,dog,0.39320907,shape,dog,0.37530354,shape,dog,0.13103966,shape,dog,0.8236487,shape,all_shape
dog/monkey,A_shape_B_texture,dog,monkey,140,365,dog,0.44216102,shape,dog,0.24108942,shape,dog,0.12239855,shape,dog,0.5102718,shape,all_shape
dog/monkey,A_shape_B_texture,dog,monkey,166,156,monkey,0.8876545,texture,dog,0.28990453,shape,dog,0.11604574,shape,dog,0.6457578,shape,disagree_shape_vs_texture
dog/monkey,A_shape_B_texture,dog,monkey,205,120,bird,0.98750675,other,bird,0.7175901,other,bird,0.11254801,other,bird,0.6123196,other,all_other
dog/monkey,A_shape_B_texture,dog,monkey,69,452,dog,0.83624554,shape,dog,0.88813996,shape,monkey,0.12038821,texture,monkey,0.8442874,texture,disagree_shape_vs_texture
dog/monkey,A_shape_B_texture,dog,monkey,194,278,dog,0.5574482,shape,dog,0.9574844,shape,dog,0.12584464,shape,dog,0.7000369,shape,all_shape
dog/monkey,A_shape_B_texture,dog,monkey,1,2,deer,0.6221015,other,cat,0.4489088,other,dog,0.11350118,shape,deer,0.32490647,other,mixed_other
dog/monkey,A_shape_B_texture,dog,monkey,136,334,bird,0.7126465,other,cat,0.3946626,other,dog,0.1211694,shape,dog,0.7164575,shape,mixed_other
dog/monkey,A_shape_B_texture,dog,monkey,355,211,deer,0.659517,other,deer,0.7124126,other,monkey,0.12366913,texture,bird,0.57431966,other,mixed_other
dog/monkey,A_shape_B_texture,dog,monkey,73,444,bird,0.5958022,other,monkey,0.543888,texture,deer,0.10581336,other,deer,0.30812767,other,mixed_other
dog/monkey,A_shape_B_texture,dog,monkey,294,55,dog,0.969276,shape,dog,0.92674035,shape,dog,0.13761275,shape,dog,0.94419354,shape,all_shape
dog/monkey,A_shape_B_texture,dog,monkey,397,488,dog,0.7882706,shape,bird,0.24976172,other,deer,0.115189016,other,bird,0.38627666,other,mixed_other
dog/monkey,A_shape_B_texture,dog,monkey,33,287,dog,0.98010993,shape,bird,0.4926955,other,dog,0.14117236,shape,dog,0.978629,shape,mixed_other
dog/monkey,A_shape_B_texture,dog,monkey,190,117,bird,0.8783228,other,monkey,0.30855745,texture,bird,0.107112676,other,bird,0.46232867,other,mixed_other
dog/monkey,A_shape_B_texture,dog,monkey,241,8,dog,0.5001586,shape,monkey,0.41939273,texture,deer,0.11912449,other,horse,0.6528488,other,disagree_shape_vs_texture
dog/monkey,A_shape_B_texture,dog,monkey,36,182,dog,0.99547005,shape,dog,0.9979594,shape,dog,0.14757402,shape,dog,0.91523206,shape,all_shape
dog/monkey,A_shape_B_texture,dog,monkey,65,72,dog,0.626542,shape,dog,0.99174577,shape,dog,0.11593218,shape,dog,0.5097975,shape,all_shape
dog/monkey,A_shape_B_texture,dog,monkey,448,66,bird,0.77540576,other,dog,0.8012001,shape,dog,0.11721018,shape,dog,0.52348864,shape,mixed_other
dog/monkey,A_shape_B_texture,dog,monkey,478,250,dog,0.74371356,shape,dog,0.9854375,shape,dog,0.13106956,shape,dog,0.4451636,shape,all_shape
dog/monkey,A_shape_B_texture,dog,monkey,174,435,dog,0.9395729,shape,dog,0.98211634,shape,dog,0.12675114,shape,dog,0.5886406,shape,all_shape
dog/monkey,A_shape_B_texture,dog,monkey,221,106,cat,0.4936956,other,deer,0.4647089,other,cat,0.11613905,other,dog,0.67462397,shape,mixed_other
dog/monkey,A_shape_B_texture,dog,monkey,118,427,dog,0.865815,shape,deer,0.5744653,other,monkey,0.12019502,texture,deer,0.5543844,other,disagree_shape_vs_texture
dog/monkey,A_shape_B_texture,dog,monkey,150,217,dog,0.58038867,shape,dog,0.9772438,shape,dog,0.13385484,shape,dog,0.9056529,shape,all_shape
dog/monkey,A_shape_B_texture,dog,monkey,86,471,dog,0.79365367,shape,dog,0.9859919,shape,monkey,0.117590815,texture,horse,0.40420976,other,disagree_shape_vs_texture
dog/monkey,B_shape_A_texture,monkey,dog,450,369,bird,0.5977396,other,monkey,0.9886234,shape,monkey,0.13740094,shape,monkey,0.9921927,shape,mixed_other
dog/monkey,B_shape_A_texture,monkey,dog,217,194,bird,0.6720636,other,monkey,0.9672765,shape,monkey,0.105376005,shape,bird,0.26280886,other,mixed_other
dog/monkey,B_shape_A_texture,monkey,dog,274,370,monkey,0.65791327,shape,monkey,0.5213802,shape,monkey,0.13663062,shape,monkey,0.99277675,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,168,467,monkey,0.91930795,shape,monkey,0.9991893,shape,monkey,0.11997863,shape,dog,0.42340472,texture,disagree_shape_vs_texture
dog/monkey,B_shape_A_texture,monkey,dog,334,312,monkey,0.96485484,shape,monkey,0.99756765,shape,monkey,0.115410134,shape,monkey,0.68421084,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,72,174,bird,0.8315457,other,monkey,0.9126796,shape,bird,0.11310421,other,bird,0.6300614,other,mixed_other
dog/monkey,B_shape_A_texture,monkey,dog,64,118,bird,0.8279298,other,monkey,0.8995204,shape,bird,0.10969005,other,monkey,0.39058155,shape,mixed_other
dog/monkey,B_shape_A_texture,monkey,dog,106,136,monkey,0.51282245,shape,dog,0.60847896,texture,dog,0.10661154,texture,horse,0.313312,other,disagree_shape_vs_texture
dog/monkey,B_shape_A_texture,monkey,dog,471,389,monkey,0.93688595,shape,monkey,0.9988212,shape,monkey,0.13262857,shape,monkey,0.99750036,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,420,139,ship,0.7698197,other,ship,0.38211095,other,deer,0.10363735,other,ship,0.3028279,other,all_other
dog/monkey,B_shape_A_texture,monkey,dog,349,205,cat,0.37871006,other,dog,0.3957959,texture,cat,0.12238462,other,dog,0.4830893,texture,mixed_other
dog/monkey,B_shape_A_texture,monkey,dog,37,328,monkey,0.98706067,shape,monkey,0.9950735,shape,monkey,0.14179909,shape,monkey,0.99252135,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,365,241,monkey,0.47560862,shape,monkey,0.9941403,shape,monkey,0.13340142,shape,monkey,0.84961474,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,427,150,monkey,0.4286064,shape,monkey,0.22248167,shape,monkey,0.12686267,shape,monkey,0.9023745,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,287,354,monkey,0.8344353,shape,monkey,0.9984237,shape,monkey,0.14088088,shape,monkey,0.9951757,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,39,154,monkey,0.98589766,shape,monkey,0.99848145,shape,monkey,0.13978535,shape,monkey,0.982263,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,237,327,cat,0.74778694,other,cat,0.5165114,other,monkey,0.12863626,shape,monkey,0.9904574,shape,mixed_other
dog/monkey,B_shape_A_texture,monkey,dog,66,12,monkey,0.985986,shape,monkey,0.99398947,shape,monkey,0.12972678,shape,monkey,0.84682655,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,212,304,monkey,0.4742236,shape,monkey,0.7328658,shape,monkey,0.13714692,shape,monkey,0.98027706,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,117,33,monkey,0.5713574,shape,monkey,0.7310808,shape,bird,0.13168295,other,bird,0.77453655,other,mixed_other
dog/monkey,B_shape_A_texture,monkey,dog,452,86,horse,0.88094467,other,airplane,0.63341844,other,dog,0.10540747,texture,horse,0.34313658,other,mixed_other
dog/monkey,B_shape_A_texture,monkey,dog,315,397,bird,0.55080694,other,monkey,0.99309087,shape,airplane,0.10625188,other,monkey,0.4545259,shape,mixed_other
dog/monkey,B_shape_A_texture,monkey,dog,8,355,truck,0.6547911,other,monkey,0.90836596,shape,truck,0.10266844,other,car,0.34698516,other,mixed_other
dog/monkey,B_shape_A_texture,monkey,dog,211,44,monkey,0.9202914,shape,monkey,0.9997793,shape,monkey,0.15152387,shape,monkey,0.9986733,shape,all_shape
dog/monkey,B_shape_A_texture,monkey,dog,394,166,bird,0.96045434,other,monkey,0.25361806,shape,bird,0.10319425,other,car,0.18871,other,mixed_other
